CONTAINER,CASES,QTY,SKUs,FFW,OCEAN/TL,40/45/53,PL,CARRIER,Live,SCHEDULED DATE,SCHEDULED TIME,ARRIVAL DATE,ARRIVAL TIME,TEAM SIZE,UNLOAD DATE,BLDG,UNLOAD START,UNLOAD FINISH,UNLOAD MINS,Unload for avs,Cases Per Person  Per Minute,RESTACK START,RESTACK FINISH,D2S START,D2S FINISH,DAMAGED PRODUCT,TOTAL PALLETS,DAMAGED PALLETS
OOLU8728746,772,40050,5,Fedex,Ocean,40' HQ Container,Yes,,,1/5/2017,,1/5/2017,,5,1/5/2017,,,,0,,,,,,,0,,0
OOLU9849819,408,33250,47,Fedex,Ocean,40' HQ Container,Yes,,,1/6/2017,,1/6/2017,,6,1/6/2017,,,,0,,,,,,,0,,0
YMLU8469472,1472,29550,9,SBA Global,Transload,53' Trailer,No,,,1/6/2017,,1/6/2017,,5,1/6/2017,,,,0,,,,,,,0,,0
BMOU6316744,471,21960,2,SBA Global,Transload,53' Trailer,No,,,1/6/2017,,1/6/2017,,5,1/6/2017,,,,0,,,,,,,0,,0
YMLU8817243,388,28540,8,SBA Global,Transload,53' Trailer,No,,,1/9/2017,,1/9/2017,,5,1/9/2017,,,,0,,,,,,,0,,0
TCNU7387598,807,28308,5,SBA Global,Transload,53' Trailer,No,,,1/9/2017,,1/9/2017,,5,1/9/2017,,,,0,,,,,,,0,,0
DRYU9418062,1414,34803,16,SBA Global,Transload,53' Trailer,No,,,1/10/2017,,1/10/2017,,6,1/10/2017,,,,0,,,,,,,0,,0
MRKU5346900 ,1575,24282,6,Intelligence,Ocean,40' HQ Container,No,,,1/12/2017,,1/12/2017,,5,1/12/2017,,,,0,,,,,,,0,,0
OOLU9677999,864,32274,32,Fedex,Ocean,40' HQ Container,Yes,,,1/12/2017,,1/12/2017,,6,1/12/2017,,,,0,,,,,,,0,,0
SEGU5394797,1935,32823,6,SBA Global,Transload,53' Trailer,No,,,1/13/2017,,1/13/2017,,5,1/13/2017,,,,0,,,,,,,0,,0
YMLU8564171,1873,28470,6,SBA Global,Transload,53' Trailer,No,,,1/13/2017,,1/13/2017,,5,1/13/2017,,,,0,,,,,,,0,,0
YMLU8415985,1282,29676,13,SBA Global,Transload,53' Trailer,No,,,1/19/2017,,1/19/2017,,5,1/19/2017,,,,0,,,,,,,0,,0
SEGU4505860,595,17298,8,SBA Global,Transload,53' Trailer,No,,,1/19/2017,,1/19/2017,,5,1/19/2017,,,,0,,,,,,,0,,0
YMLU8561779,2102,35080,13,SBA Global,Transload,53' Trailer,Yes,,,1/20/2017,,1/20/2017,,5,1/20/2017,,,,0,,,,,,,0,,0
OOLU8934726,402,32160,23,Fedex,Ocean,40' HQ Container,No,,,1/23/2017,,1/23/2017,,5,1/23/2017,,,,0,,,,,,,0,,0
CAIU9231105,1327,26606,7,Fedex,Ocean,40' HQ Container,Yes,,,1/23/2017,,1/23/2017,,6,1/23/2017,,,,0,,,,,,,0,,0
CAIU9394289,731,19278,10,SBA Global,Transload,53' Trailer,No,,,1/24/2017,,1/24/2017,,4,1/24/2017,,,,0,,,,,,,0,,0
MAGU5671120,1926,29115,9,SBA Global,Transload,53' Trailer,No,,,1/26/2017,,1/26/2017,,5,1/26/2017,,,,0,,,,,,,0,,0
YMLU8321309,839,26958,18,SBA Global,Transload,53' Trailer,Yes,,,1/26/2017,,1/26/2017,,5,1/26/2017,,,,0,,,,,,,0,,0
